feature,sd_train,pred0,delta_pred_1sd,importance,missingness_pct
targets,13.424867930313077,-0.00791812784585151,0.07161297387921373,0.07161297387921373,1.8628281117696865
umap3_z,1.8708956071447924,-0.00791812784585151,-0.04755488048278542,0.04970893102186884,9.483488569009314
rep_org_2,0.47836794770830354,-0.00791812784585151,0.04128953684510189,0.04128953684510189,0.0
context,16.46785229998267,-0.00791812784585151,0.039162741915231655,0.039162741915231655,1.7781541066892466
region_EAP,0.4267785451906883,-0.00791812784585151,0.03744908228019035,0.03744908228019035,0.0
expenditure_x_complexity,10666004444.713274,-0.00791812784585151,0.027723154495596748,0.027723154495596748,4.741744284504657
umap3_x,1.8191198375122906,-0.00791812784585151,-0.025166782499203563,0.025166782499203563,9.483488569009314
finance,9.160874408177502,-0.00791812784585151,0.025080618245864446,0.025080618245864446,3.725656223539373
sector_cluster_Capacity_Building_and_Technical_Assistance,0.08702122054663002,-0.00791812784585151,-0.02423204355446769,0.02423204355446769,33.6155800169348
implementer_performance,11.724616083794226,-0.00791812784585151,0.02300523925910921,0.02300523925910921,1.7781541066892466
expenditure_per_year_log,1.349544638082091,-0.00791812784585151,0.022473423600074875,0.022473423600074875,5.165114309906858
risks,19.68512086004435,-0.00791812784585151,-0.017527923857576184,0.017527923857576184,1.947502116850127
planned_duration,3.102021503887767,-0.00791812784585151,-0.015236419558603897,0.015236419558603897,0.2540220152413209
umap3_y,1.5153589616228973,-0.00791812784585151,0.009513943652254803,0.014632363645772927,9.483488569009314
sector_cluster_Project_Management,0.06133904394085218,-0.00791812784585151,0.012522680497344407,0.012522680497344407,33.6155800169348
activity_scope,1.3957778833308845,-0.00791812784585151,-0.01239484941755896,0.01239484941755896,0.0
governance_composite,0.43569020352749566,-0.00791812784585151,-0.012379635536484558,0.012379635536484558,7.705334462320068
region_MENA,0.27248924894668863,-0.00791812784585151,-0.011683470163846335,0.011683470163846335,0.0
cpia_missing,0.5002292548691818,-0.00791812784585151,-0.0112340150646151,0.0112340150646151,0.0
finance_is_loan,0.4884430514584754,-0.00791812784585151,-0.011169245222749126,0.011169245222749126,0.0
region_ECA,0.3354816847142939,-0.00791812784585151,0.008626987558332811,0.008626987558332815,0.0
sector_cluster_Contingencies,0.07573021286907512,-0.00791812784585151,0.007186628253068763,0.007186628253068763,33.6155800169348
governance_missing_count,1.486574416939746,-0.00791812784585151,-0.006426158138128548,0.006426158138128548,0.0
log_planned_expenditure,1.3380211149599055,-0.00791812784585151,0.0016994633641183952,0.006105005277947441,3.302286198137172
sector_cluster_Institutional_capacity_building,0.05914693533093924,-0.00791812784585151,0.006098813697747657,0.006098813697747657,33.6155800169348
gdp_percap,0.9595069525897595,-0.00791812784585151,-0.005599857905513405,0.005599857905513405,8.044030482641828
region_LAC,0.35396615837509116,-0.00791812784585151,-0.004795157272436183,0.004795157272436185,0.0
cpia_score,0.2765248792614329,-0.00791812784585151,0.0047344335489076,0.0047344335489076,44.792548687552916
sector_cluster_more_people_with_drinking_water_services,0.3148712992440485,-0.00791812784585151,-0.004009290469266729,0.004009290469266729,33.6155800169348
sector_cluster_increased_managed_forest_land,0.21313281295278502,-0.00791812784585151,-0.0038089772659134,0.0038089772659134,33.6155800169348
sector_clusters_missing,0.46553687891700957,-0.00791812784585151,-0.0036156768075599273,0.003615676807559928,0.0
sector_cluster_Improved_transport_infrastructure,0.18116813406376683,-0.00791812784585151,-0.003437028351422454,0.003437028351422454,33.6155800169348
complexity,17.457102614719222,-0.00791812784585151,-0.0033232192366524646,0.0033232192366524646,1.6934801016088061
sector_cluster_reduced_CO2_emissions,0.3605230653215425,-0.00791812784585151,-0.0026975268384534954,0.0026975268384534954,33.6155800169348
country_distance,0.03801000675645734,-0.00791812784585151,0.0006523522337965183,0.0019449469018591238,9.483488569009314
sector_cluster_increased_food_production,0.17939893280177255,-0.00791812784585151,0.0006126881324312579,0.00145712089152836,33.6155800169348
region_AFE,0.27473591519775387,-0.00791812784585151,-0.0014073024867143089,0.0014073024867143089,0.0
umap_missing,0.29785796357587135,-0.00791812784585151,0.0012899464165638489,0.0012899464165638506,0.0
region_SAS,0.293855292529323,-0.00791812784585151,-0.0012063350825813708,0.0012063350825813708,0.0
sector_distance,0.046021492521090133,-0.00791812784585151,0.00033756666375342297,0.0011024207790293322,9.483488569009314
integratedness,5.539952761870127,-0.00791812784585151,0.001080392524270255,0.001080392524270255,3.2176121930567314
planned_expenditure,182161622.44992912,-0.00791812784585151,-9.103137141391334e-05,0.0010492303681999212,3.302286198137172
region_AFW,0.2773451551048561,-0.00791812784585151,0.0006028230943690749,0.0010119962415292402,0.0
sector_cluster_reduced_PM2.5_air_pollution,0.11075915553246306,-0.00791812784585151,-0.0009282726913427723,0.0009282726913427723,33.6155800169348
sector_cluster_Green_growth_initiatives,0.08749498864989708,-0.00791812784585151,0.0008508672776334474,0.0008508672776334474,33.6155800169348
rep_org_1,0.23787850468144417,-0.00791812784585151,-0.000776749623341108,0.0007767496233411097,0.0
gdp_percap_missing,0.2608421660890813,-0.00791812784585151,0.0006882387412434434,0.0006882387412434434,0.0
llm_features_missing_count,0.33231226649363604,-0.00791812784585151,-0.0003824670089883083,0.0003824670089883083,0.0
sector_cluster_Financing_charges,0.056355017460532425,-0.00791812784585151,0.00031284284040453147,0.0003128428404045317,33.6155800169348
sector_cluster_Urban_flood_protection,0.15359370891579513,-0.00791812784585151,-0.00016341597713563535,0.00019816125563835318,33.6155800169348
sector_cluster_Land_acquisition_and_resettlement,0.10213764535900842,-0.00791812784585151,0.00017350529781473475,0.00017350529781473475,33.6155800169348
rep_org_0,0.22081085492240793,-0.00791812784585151,0.00016074257592611736,0.00016074257592611736,0.0
llm_features_present_ratio,0.04747318092766228,-0.00791812784585151,0.00015667751468968405,0.00015667751468968405,0.0
sector_cluster_Road_safety_improvements,0.18654176331881106,-0.00791812784585151,-0.0001034792826603298,0.0001034792826603298,33.6155800169348
wgi_any_missing,0.2534953798159453,-0.00791812784585151,4.73499147475158e-05,4.73499147475158e-05,0.0
feature_completeness_ratio,0.04747318092766228,-0.00791812784585151,2.9218509821958837e-05,2.921850982196144e-05,0.0
sector_cluster_Climate_adaptation,0.06823312677806173,-0.00791812784585151,2.303929616531697e-18,0.0,33.6155800169348
planned_expenditure_missing,0.15147165221905134,-0.00791812784585151,-1.0570971181733668e-18,0.0,0.0
planned_duration_missing,0.03829197905337418,-0.00791812784585151,1.7618285302889447e-19,0.0,0.0
